#period	period time	calc time
687	999	1634
688	761	6253
689	761	7742
690	8486	1999
691	2740	1770
692	2508	1751
693	5499	1748
694	2495	2000
695	2747	1997
696	5756	1754
697	998	1502
698	998	3251
699	7246	2001
700	2502	1743
701	2747	1756
702	2745	1747
703	5744	1776
704	997	1499
705	997	6500
706	7248	1751
707	748	5502
708	748	6750
709	7746	1756
710	2750	1756
711	2497	4245
712	4992	1749
713	2761	1735
714	5740	1500
715	2247	2001
716	2749	1749
717	5997	1498
718	2246	1999
719	2747	2001
720	5997	1497
721	2495	1508
722	2502	1499
723	5996	1501
724	2494	1755
725	2503	1756
726	5997	1750
727	2493	1754
728	2499	1743
729	4997	1765
730	2503	1752
731	5245	1751
732	2498	1750
733	5496	1501
734	2499	1754
735	2750	1498
736	4997	1993
737	2486	5013
738	6013	1745
739	2493	1754
740	6001	1494
741	2245	2003
742	2747	1501
743	5998	1496
744	2247	1993
745	2738	1999
746	6007	1497
747	2255	1996
748	2741	2003
749	5996	1497
750	2248	2002
751	2748	1995
752	5986	1503
753	2500	1749
754	2771	1737
755	5736	1496
756	751	1510
757	751	3254
758	7495	1739
759	2246	2000
760	2747	1751
761	7498	1749
762	2496	1760
763	2247	2001
764	2747	2002
765	5746	1509
766	2504	1746
767	2747	1738
768	5743	1490
769	2490	2001
770	2748	1765
771	5758	1499
772	1499	1007
773	1499	2496
774	6744	1748
775	2246	1999
776	2752	1747
777	7504	1749
778	2492	1757
779	2496	1750
780	2751	1749
781	5247	1746
782	2490	2004
783	5746	1755
784	748	1994
785	748	6515
786	7240	1758
787	2505	2252
788	1749	1001
789	1749	2497
790	3499	1756
791	5745	1752
792	2498	1741
793	2749	1746
794	5755	1743
795	2488	2001
796	2750	1997
797	5746	1747
798	1501	1000
799	1501	2749
800	6737	1750
801	2247	1999
802	2765	1751
803	4991	1753
804	2245	2004
805	5497	1500
806	2490	1766
807	5516	1480
808	2478	1762
809	2496	1754
810	5267	1744
811	2480	1758
812	1740	1013
813	1740	2508
814	3255	4750
815	5248	2001
816	2748	4489
817	5250	1758
818	2753	1738
819	5987	1501
820	2248	2006
821	2751	2002
822	6000	1495
823	2241	2000
824	2752	4487
825	5252	1735
826	2747	1746
827	2491	4500
828	4996	1753
829	2755	6244
830	6991	1750
831	2749	1496
832	2244	1999
833	5487	1759
834	2507	1751
835	5495	1508
836	2496	1769
837	7497	1500
838	2499	1768
839	2498	1757
840	2500	1998
841	5491	1757
842	2501	2000
843	5758	1492
844	2237	2003
845	2752	2000
846	5743	1500
847	2497	1761
848	5498	1493
849	2494	1767
850	7510	1493
851	2489	1757
852	2746	1501
853	2499	1753
854	5498	1500
855	2248	2001
856	2748	1990
857	5993	1514
858	2255	1998
859	2745	1751
860	5996	1500
861	2498	1750
862	2498	1502
863	5998	1499
864	2497	1751
865	2489	2004
866	6015	1742
867	2489	1751
868	2739	1750
869	4755	1751
870	2498	1746
871	5246	1500
872	2506	1743
873	5484	1500
874	2500	1751
875	2752	1498
876	4996	1499
877	2499	2000
878	3494	1751
879	2501	1750
880	5498	1502
881	2489	1759
882	2495	2003
883	5269	1732
884	2237	2001
885	6498	1988
886	2496	2000
887	274
